Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Normal,347-DN,03BR006,181977422,181977422,137,25093396999,25093396999,24928566990,24928566990,24290510080,24290510080,37152935362,37152935362
Tumor,348-DM,21BR001,276296380,276296380,136,37846636395,37846636395,37534099457,37534099457,36594257824,36594257824,55978027700,55978027700
Normal,348-DN,21BR001,255419356,255419356,136,34837053637,34837053637,34551200399,34551200399,33711298431,33711298431,51542656923,51542656923
Tumor,349-DM,01BR010,197576078,197576078,134,26600690642,26600690642,26353384545,26353384545,25291380141,25291380141,39121538088,39121538088
Normal,349-DN,01BR010,295207806,295207806,136,40305951580,40305951580,39976545427,39976545427,38989285359,38989285359,59627892384,59627892384
Tumor,350-DM,01BR008,249046820,249046820,136,34107540744,34107540744,33760544077,33760544077,32448192739,32448192739,50154316197,50154316197
Normal,350-DN,01BR008,202270096,202270096,135,27458827679,27458827679,27204111549,27204111549,26143667950,26143667950,40400741194,40400741194
Tumor,351-DM,01BR026,174485322,174485322,137,24070374669,24070374669,23911708526,23911708526,23262138680,23262138680,35619660814,35619660814
Normal,351-DN,01BR026,194152492,194152492,138,26803235480,26803235480,26616725903,26616725903,25920428483,25920428483,39666714427,39666714427
Tumor,352-DM,01BR020,185045016,185045016,138,25647526172,25647526172,25503875434,25503875434,24829478835,24829478835,37987570632,37987570632
Normal,352-DN,01BR020,213318242,213318242,136,29029166717,29029166717,28796566027,28796566027,27676321514,27676321514,42748798720,42748798720
Tumor,353-DM,01BR023,209776290,209776290,137,28771228714,28771228714,28561938832,28561938832,27546307957,27546307957,42437758098,42437758098
Normal,353-DN,01BR023,184402692,184402692,137,25426616868,25426616868,25294947590,25294947590,24651191618,24651191618,37684432824,37684432824
Tumor,354-DM,09BR001,225778218,225778218,137,31070241455,31070241455,30844712101,30844712101,29799459174,29799459174,45850527389,45850527389
Normal,354-DN,09BR001,221506576,221506576,138,30568827811,30568827811,30364171971,30364171971,29338885035,29338885035,45129775465,45129775465
Tumor,355-DM,03BR011,199315426,199315426,136,27205938933,27205938933,26969210989,26969210989,25889466219,25889466219,40030266113,40030266113
Normal,355-DN,03BR011,180163296,180163296,137,24781160108,24781160108,24626258352,24626258352,23940223265,23940223265,36670611404,36670611404
