Case,Sample Aliquot,Bam File,Total Reads,Proper Mapped Reads,Coverage,Cov_100x,Template Mean,Template SD
C3L-00447,CPT0006900009,CPT0006900009-wgs,418369272.0,0.9,17.78,,357.07,108.36
C3L-00447,CPT0006900009,CPT0006900009-wxs,247855808.0,0.97,160.76,0.77,,
C3L-00581,CPT0007320009,CPT0007320009-wgs,413037180.0,0.89,17.48,,360.41,107.96
C3L-00581,CPT0007320009,CPT0007320009-wxs,287423580.0,0.97,183.06,0.82,,
C3L-00910,CPT0007860009,CPT0007860009-wgs,362054987.0,0.91,15.66,,345.76,99.35
C3L-00910,CPT0007860009,CPT0007860009-wxs,311866162.0,0.97,194.4,0.85,,
C3N-00310,CPT0009000006,CPT0009000006-wgs,360078525.0,0.9,15.71,,339.89,99.97
C3N-00310,CPT0009000006,CPT0009000006-wxs,325698150.0,0.97,194.48,0.85,,
C3N-00310,CPT0009030002,CPT0009030002-wgs,470289724.0,0.89,19.48,,371.08,107.5
C3N-00310,CPT0009030002,CPT0009030002-wxs,278743727.0,0.96,161.0,0.78,,
C3N-00312,CPT0009060006,CPT0009060006-wgs,408537418.0,0.89,17.21,,358.68,107.55
C3N-00312,CPT0009060006,CPT0009060006-wxs,213118586.0,0.97,150.05,0.76,,
C3N-00312,CPT0009090002,CPT0009090002-wgs,478825423.0,0.88,19.86,,388.16,113.26
C3N-00312,CPT0009090002,CPT0009090002-wxs,285758431.0,0.97,170.07,0.87,,
C3L-00416,CPT0010110006,CPT0010110006-wgs,452962066.0,0.89,19.34,,357.23,111.4
C3L-00416,CPT0010110006,CPT0010110006-wxs,268452607.0,0.96,177.74,0.8,,
C3L-00448,CPT0010160006,CPT0010160006-wgs,417020831.0,0.9,18.12,,342.69,107.22
C3L-00448,CPT0010160006,CPT0010160006-wxs,233996671.0,0.96,143.34,0.74,,
C3N-00305,CPT0011240009,CPT0011240009-wgs,385582234.0,0.9,16.79,,355.37,110.4
C3N-00305,CPT0011240009,CPT0011240009-wxs,259021571.0,0.97,165.44,0.83,,
C3N-00305,CPT0011270002,CPT0011270002-wgs,405958762.0,0.9,17.58,,365.23,111.05
C3N-00305,CPT0011270002,CPT0011270002-wxs,290141535.0,0.97,169.4,0.85,,
C3N-00313,CPT0011410009,CPT0011410009-wgs,470716431.0,0.9,19.81,,343.98,97.71
C3N-00313,CPT0011410009,CPT0011410009-wxs,245444229.0,0.97,152.0,0.77,,
C3N-00313,CPT0012040002,CPT0012040002-wgs,389076956.0,0.9,16.68,,369.91,116.44
C3N-00313,CPT0012040002,CPT0012040002-wxs,257522678.0,0.96,152.07,0.82,,
C3N-00314,CPT0012080009,CPT0012080009-wgs,437893387.0,0.88,18.74,,357.16,106.9
C3N-00314,CPT0012080009,CPT0012080009-wxs,241735926.0,0.96,144.78,0.79,,
C3N-00314,CPT0012150002,CPT0012150002-wgs,381166438.0,0.91,16.63,,367.6,111.74
C3N-00314,CPT0012150002,CPT0012150002-wxs,322824367.0,0.96,170.09,0.86,,
C3N-00315,CPT0012180009,CPT0012180009-wgs,402252882.0,0.9,17.29,,349.3,98.74
C3N-00315,CPT0012180009,CPT0012180009-wxs,250685417.0,0.95,144.82,0.76,,
C3N-00315,CPT0012240002,CPT0012240002-wgs,403216684.0,0.9,17.23,,378.87,110.77
C3N-00315,CPT0012240002,CPT0012240002-wxs,269329651.0,0.96,147.73,0.76,,
C3N-00317,CPT0012280009,CPT0012280009-wgs,472120186.0,0.89,19.88,,376.97,120.74
C3N-00317,CPT0012280009,CPT0012280009-wxs,304802344.0,0.97,188.55,0.9,,
C3N-00317,CPT0012350002,CPT0012350002-wgs,561361124.0,0.89,24.13,,374.44,112.62
C3N-00317,CPT0012350002,CPT0012350002-wxs,259211628.0,0.97,150.2,0.81,,
C3N-00320,CPT0012370009,CPT0012370009-wgs,392572300.0,0.89,16.68,,359.01,106.55
C3N-00320,CPT0012370009,CPT0012370009-wxs,274255260.0,0.97,176.36,0.83,,
C3N-00320,CPT0012530002,CPT0012530002-wgs,382835034.0,0.9,16.53,,367.44,109.04
C3N-00320,CPT0012530002,CPT0012530002-wxs,273301296.0,0.96,161.95,0.83,,
C3N-00437,CPT0012550008,CPT0012550008-wgs,461161800.0,0.9,19.69,,362.41,113.03
C3N-00437,CPT0012550008,CPT0012550008-wxs,310379654.0,0.96,176.58,0.87,,
C3N-00437,CPT0012620002,CPT0012620002-wgs,382118614.0,0.91,16.28,,364.8,102.8
C3N-00437,CPT0012620002,CPT0012620002-wxs,267950551.0,0.96,154.53,0.82,,
C3N-00491,CPT0012670006,CPT0012670006-wgs,418467868.0,0.89,17.79,,368.51,123.3
C3N-00491,CPT0012670006,CPT0012670006-wxs,235895584.0,0.96,162.51,0.84,,
C3N-00491,CPT0012730002,CPT0012730002-wgs,492070149.0,0.89,20.84,,372.25,113.13
C3N-00491,CPT0012730002,CPT0012730002-wxs,472790691.0,0.96,272.36,0.93,,
C3N-00492,CPT0012820002,CPT0012820002-wgs,528597770.0,0.87,22.42,,390.12,117.33
C3N-00492,CPT0012820002,CPT0012820002-wxs,358971986.0,0.97,178.83,0.89,,
C3N-00494,CPT0012900010,CPT0012900010-wgs,362152132.0,0.9,15.56,,353.29,105.68
C3N-00494,CPT0012900010,CPT0012900010-wxs,299089068.0,0.97,191.64,0.89,,
C3N-00494,CPT0012980002,CPT0012980002-wgs,431934887.0,0.9,18.82,,362.5,109.84
C3N-00494,CPT0012980002,CPT0012980002-wxs,251935022.0,0.96,146.7,0.78,,
C3N-00194,CPT0014160006,CPT0014160006-wgs,473055668.0,0.91,20.52,,355.36,103.94
C3N-00194,CPT0014160006,CPT0014160006-wxs,276471105.0,0.96,174.92,0.74,,
C3N-00244,CPT0014370007,CPT0014370007-wgs,487567237.0,0.89,20.46,,367.63,114.74
C3N-00244,CPT0014370007,CPT0014370007-wxs,277317247.0,0.96,148.86,0.79,,
C3N-00242,CPT0014450007,CPT0014450007-wgs,440140678.0,0.9,18.95,,343.82,104.24
C3N-00242,CPT0014450007,CPT0014450007-wxs,252280159.0,0.96,143.62,0.74,,
C3N-00194,CPT0015040002,CPT0015040002-wgs,525919622.0,0.89,21.51,,393.41,121.51
C3N-00194,CPT0015040002,CPT0015040002-wxs,290489068.0,0.96,169.33,0.86,,
C3N-00244,CPT0015060002,CPT0015060002-wgs,372355144.0,0.89,16.07,,380.55,111.65
C3N-00244,CPT0015060002,CPT0015060002-wxs,269758947.0,0.97,161.6,0.85,,
C3N-00242,CPT0015070002,CPT0015070002-wgs,439348527.0,0.9,18.28,,369.73,107.84
C3N-00242,CPT0015070002,CPT0015070002-wxs,276526925.0,0.97,171.55,0.87,,
C3L-00792,CPT0015730006,CPT0015730006-wgs,376158162.0,0.91,16.07,,346.59,97.24
C3L-00792,CPT0015730006,CPT0015730006-wxs,224475437.0,0.96,141.54,0.69,,
C3L-00813,CPT0015810013,CPT0015810013-wgs,401441477.0,0.83,16.54,,352.81,104.38
C3L-00813,CPT0015810013,CPT0015810013-wxs,425891756.0,0.94,171.22,0.67,,
C3L-00765,CPT0015910006,CPT0015910006-wgs,642588897.0,0.8,25.78,,390.14,111.78
C3L-00765,CPT0015910006,CPT0015910006-wxs,427981108.0,0.92,149.93,0.68,,
C3N-00390,CPT0017410009,CPT0017410009-wgs,404968070.0,0.92,17.73,,349.26,105.03
C3N-00390,CPT0017410009,CPT0017410009-wxs,265949090.0,0.96,157.75,0.83,,
C3N-00390,CPT0017650002,CPT0017650002-wgs,589305696.0,0.89,24.21,,371.03,106.31
C3N-00390,CPT0017650002,CPT0017650002-wxs,316951265.0,0.96,178.74,0.82,,
C3N-00435,CPT0017850009,CPT0017850009-wgs,363213956.0,0.91,15.65,,348.14,97.1
C3N-00435,CPT0017850009,CPT0017850009-wxs,370743906.0,0.96,214.39,0.79,,
C3L-00792,CPT0018270002,CPT0018270002-wgs,444243948.0,0.88,18.4,,391.83,115.99
C3L-00792,CPT0018270002,CPT0018270002-wxs,364814560.0,0.96,201.28,0.92,,
C3L-00765,CPT0018310001,CPT0018310001-wgs,454460692.0,0.84,18.99,,393.55,112.19
C3L-00765,CPT0018310001,CPT0018310001-wxs,289465320.0,0.96,172.17,0.87,,
C3L-00813,CPT0018370002,CPT0018370002-wgs,482777811.0,0.74,18.39,,387.12,114.1
C3L-00813,CPT0018370002,CPT0018370002-wxs,292341313.0,0.97,164.89,0.85,,
C3L-00583,CPT0019130006,CPT0019130006-wgs,417189852.0,0.9,18.2,,364.74,118.09
C3L-00583,CPT0019130006,CPT0019130006-wxs,388840556.0,0.96,211.5,0.92,,
